State,Crop_Year,observed_demand_mcm,dabm_demand_mcm
Maharashtra,1997,11615.214641140621,19359.263349870376
Maharashtra,1998,16313.27489019599,26846.097600051882
Maharashtra,1999,23073.981929317997,32426.6549097213
Maharashtra,2000,24029.986785841596,35152.568115631104
Maharashtra,2001,24678.183828410485,35394.947569152835
Maharashtra,2002,24093.954688155423,36752.654675636295
Maharashtra,2003,21774.129818624322,32805.20792378235
Maharashtra,2004,23218.720480784636,32750.9287440033
Maharashtra,2005,20191.081773582926,25799.479639541627
Maharashtra,2006,24883.88032149154,28151.01549258423
Maharashtra,2007,32083.009747340006,35189.53298204804
Maharashtra,2008,37071.23123446063,38372.376329505925
Maharashtra,2009,43006.538075174576,41153.129522949224
Maharashtra,2010,38198.54811323282,31613.99067432404
Maharashtra,2011,44480.85030845822,38202.23051183319
Maharashtra,2012,46044.38451115401,44207.66907275391
Maharashtra,2013,32870.19652234828,31319.903275512697
Maharashtra,2014,49094.21248574384,46877.33001865387
Maharashtra,2015,55047.25130166972,51150.72107345978
Maharashtra,2016,41224.505722163674,38651.40691578888
Maharashtra,2017,45722.51954250786,41426.680699360586
Maharashtra,2018,39414.06436916525,32337.47455991282
Maharashtra,2019,39273.789387438825,27373.466334453813
Punjab,1997,25883.477033854444,29669.19002714539
Punjab,1998,31071.4518190162,33251.41817233277
Punjab,1999,40955.008361310276,39148.83398762513
Punjab,2000,38670.698617952236,38515.31348971558
Punjab,2001,35256.72026272171,36606.71563581849
Punjab,2002,40103.7097836611,40221.70661029053
Punjab,2003,35523.05521015212,37427.63966323853
Punjab,2004,41893.81954984453,41119.239913101206
Punjab,2005,34918.8465291722,34881.772212158205
Punjab,2006,30682.82077895597,29027.423257141116
Punjab,2007,33280.973691965635,30082.3731789856
Punjab,2008,28716.658076399028,26337.524016059877
Punjab,2009,44482.8427092893,36757.026434158324
Punjab,2010,43868.01607280756,35197.67332473755
Punjab,2011,37922.68271532375,32483.932196853642
Punjab,2012,50768.02703493455,42043.034435333255
Punjab,2013,40031.00487127015,35744.95497203827
Punjab,2014,49853.375672888025,41210.54313821411
Punjab,2015,45849.66799098097,38225.33951898957
Punjab,2016,40339.34687253505,35266.16285421753
Punjab,2017,47213.67080812497,39271.54779209137
Punjab,2018,44707.61149987465,37162.2740729065
Punjab,2019,43932.71493634654,35505.88450196839
West Bengal,1997,20662.27157773029,40583.950551446156
West Bengal,1998,6680.293846736798,10154.974746935197
West Bengal,1999,8245.341951679311,9485.195899915849
West Bengal,2000,6131.298312560935,11018.603515136643
West Bengal,2001,15424.294643279827,18212.28458041992
West Bengal,2002,12661.57559239388,17222.055452168046
West Bengal,2003,16579.037676401214,20125.2700162719
West Bengal,2004,15319.19792650695,17424.549279092713
West Bengal,2005,16215.846971641047,16422.55642502991
West Bengal,2006,18001.918889260527,16676.57549441727
West Bengal,2007,12326.407734830307,10829.192311080973
West Bengal,2008,23886.060368521717,19297.388309141923
West Bengal,2009,32699.768434676615,25681.8633746035
West Bengal,2010,36243.2709573414,29369.287878375857
West Bengal,2011,22186.77770521973,14676.081378554383
West Bengal,2012,23424.5154212308,17649.61041224556
West Bengal,2013,13951.13505261082,10875.267045137942
West Bengal,2014,26789.612531426363,20209.972546917495
West Bengal,2015,20521.7932986789,14209.891408371583
West Bengal,2016,16760.963190285078,12248.047409589617
West Bengal,2017,16715.85029209828,11743.995905096665
West Bengal,2018,16992.973609679477,10281.039878164444
West Bengal,2019,22583.891313026445,13781.645318925935
