date,PRECTOTCORR,T2M_MAX,T2M_MIN,state
19970101,0.0,28.37,9.87,Maharashtra
19970102,0.0,29.0,9.7,Maharashtra
19970103,0.0,29.83,10.56,Maharashtra
19970104,0.0,29.96,11.4,Maharashtra
19970105,0.0,28.51,12.65,Maharashtra
19970106,0.0,28.79,13.62,Maharashtra
19970107,0.0,27.91,12.76,Maharashtra
19970108,0.0,27.44,12.71,Maharashtra
19970109,0.01,28.89,10.9,Maharashtra
19970110,0.0,29.43,11.17,Maharashtra
19970111,0.0,29.14,13.86,Maharashtra
19970112,1.26,29.08,15.3,Maharashtra
19970113,1.9,26.48,15.66,Maharashtra
19970114,8.22,28.3,15.1,Maharashtra
19970115,0.0,27.83,12.43,Maharashtra
19970116,0.05,27.32,11.71,Maharashtra
19970117,0.0,28.63,10.26,Maharashtra
19970118,0.0,29.38,12.52,Maharashtra
19970119,0.0,29.37,12.42,Maharashtra
19970120,0.19,27.72,11.45,Maharashtra
19970121,0.04,26.25,8.59,Maharashtra
19970122,0.0,26.52,7.72,Maharashtra
19970123,0.0,29.53,10.03,Maharashtra
19970124,0.0,29.77,11.6,Maharashtra
19970125,0.0,30.58,12.95,Maharashtra
19970126,0.0,31.41,11.04,Maharashtra
19970127,0.0,32.35,13.05,Maharashtra
19970128,0.0,31.88,13.02,Maharashtra
19970129,0.0,32.16,13.01,Maharashtra
19970130,0.0,31.63,12.93,Maharashtra
19970131,0.0,30.48,12.94,Maharashtra
19970201,0.0,30.32,11.31,Maharashtra
19970202,0.0,30.63,11.68,Maharashtra
19970203,0.0,29.75,13.39,Maharashtra
19970204,0.0,30.8,11.64,Maharashtra
19970205,0.0,31.31,10.61,Maharashtra
19970206,0.0,32.75,14.34,Maharashtra
19970207,0.0,31.4,12.54,Maharashtra
19970208,0.0,32.23,11.98,Maharashtra
19970209,0.0,30.85,13.88,Maharashtra
19970210,0.0,30.26,10.0,Maharashtra
19970211,0.0,31.81,11.99,Maharashtra
19970212,0.0,32.11,10.25,Maharashtra
19970213,0.0,32.46,10.6,Maharashtra
19970214,0.0,33.71,15.01,Maharashtra
19970215,0.0,33.91,13.33,Maharashtra
19970216,0.0,32.58,14.48,Maharashtra
19970217,0.0,33.67,13.41,Maharashtra
19970218,0.0,33.29,12.98,Maharashtra
19970219,0.0,30.87,12.95,Maharashtra
19970220,0.0,32.9,12.87,Maharashtra
19970221,0.0,33.79,12.84,Maharashtra
19970222,0.0,33.68,13.82,Maharashtra
19970223,0.0,33.69,13.91,Maharashtra
19970224,0.0,34.96,17.62,Maharashtra
19970225,0.0,36.1,19.5,Maharashtra
19970226,0.0,36.32,17.45,Maharashtra
19970227,0.0,36.4,17.81,Maharashtra
19970228,0.0,37.18,17.85,Maharashtra
19970301,0.0,36.74,16.11,Maharashtra
19970302,0.0,37.03,18.28,Maharashtra
19970303,0.0,36.23,17.54,Maharashtra
19970304,0.0,36.55,19.31,Maharashtra
19970305,0.0,34.94,18.32,Maharashtra
19970306,0.0,36.28,17.65,Maharashtra
19970307,0.0,36.79,17.8,Maharashtra
19970308,0.0,37.47,19.46,Maharashtra
19970309,0.0,37.71,20.52,Maharashtra
19970310,0.0,38.48,20.36,Maharashtra
19970311,0.0,38.93,19.94,Maharashtra
19970312,0.0,38.4,20.39,Maharashtra
19970313,0.0,36.81,19.9,Maharashtra
19970314,0.0,38.12,18.49,Maharashtra
19970315,0.0,37.71,20.04,Maharashtra
