date,PRECTOTCORR,T2M_MAX,T2M_MIN,state
19970101,0.0,24.55,9.77,Punjab
19970102,0.0,23.5,8.51,Punjab
19970103,0.0,23.35,9.34,Punjab
19970104,0.0,21.07,6.84,Punjab
19970105,0.0,23.03,6.86,Punjab
19970106,0.0,23.22,7.88,Punjab
19970107,0.0,23.01,4.28,Punjab
19970108,0.0,23.49,7.46,Punjab
19970109,0.0,23.56,7.16,Punjab
19970110,0.0,23.72,8.16,Punjab
19970111,0.0,23.1,7.42,Punjab
19970112,0.0,22.9,7.59,Punjab
19970113,0.0,22.21,4.78,Punjab
19970114,0.0,22.11,5.34,Punjab
19970115,0.0,22.31,5.89,Punjab
19970116,0.0,22.14,5.94,Punjab
19970117,0.0,19.25,4.6,Punjab
19970118,0.0,15.79,6.86,Punjab
19970119,1.36,14.36,8.49,Punjab
19970120,15.43,17.25,5.97,Punjab
19970121,0.99,18.38,5.07,Punjab
19970122,0.0,18.39,3.4,Punjab
19970123,0.01,20.1,4.53,Punjab
19970124,0.0,20.64,3.09,Punjab
19970125,0.0,22.13,2.52,Punjab
19970126,0.0,22.09,6.5,Punjab
19970127,1.59,20.73,8.24,Punjab
19970128,0.01,20.39,4.49,Punjab
19970129,0.01,21.57,5.37,Punjab
19970130,0.0,23.17,7.37,Punjab
19970131,0.0,22.32,8.42,Punjab
19970201,0.0,23.77,7.61,Punjab
19970202,2.68,18.87,10.59,Punjab
19970203,1.6,21.71,8.42,Punjab
19970204,2.2,21.26,6.29,Punjab
19970205,0.0,22.03,4.93,Punjab
19970206,0.0,22.95,4.3,Punjab
19970207,0.0,23.94,5.15,Punjab
19970208,0.29,23.49,6.32,Punjab
19970209,0.58,24.68,9.41,Punjab
19970210,1.01,22.26,8.23,Punjab
19970211,0.05,23.29,5.34,Punjab
19970212,0.11,23.81,2.69,Punjab
19970213,0.0,24.5,6.21,Punjab
19970214,0.0,26.65,9.88,Punjab
19970215,0.0,24.72,8.52,Punjab
19970216,0.06,25.1,7.35,Punjab
19970217,0.0,25.08,6.98,Punjab
19970218,0.0,25.87,11.47,Punjab
19970219,0.0,25.82,8.26,Punjab
19970220,0.05,26.2,7.78,Punjab
19970221,0.0,26.49,8.93,Punjab
19970222,0.0,27.73,8.26,Punjab
19970223,0.0,29.04,10.12,Punjab
19970224,0.0,31.21,12.23,Punjab
19970225,0.0,31.35,15.17,Punjab
19970226,0.01,30.4,10.95,Punjab
19970227,0.0,29.26,11.02,Punjab
19970228,0.0,31.55,9.41,Punjab
19970301,0.0,34.54,15.46,Punjab
19970302,0.0,29.37,11.09,Punjab
19970303,1.04,26.55,8.57,Punjab
19970304,0.0,28.19,9.16,Punjab
19970305,0.0,29.86,13.14,Punjab
19970306,0.0,29.56,14.47,Punjab
19970307,0.0,32.82,14.08,Punjab
19970308,0.0,33.62,15.82,Punjab
19970309,0.0,32.81,17.21,Punjab
19970310,0.01,28.51,15.19,Punjab
19970311,0.0,33.58,16.6,Punjab
19970312,0.0,32.6,14.37,Punjab
19970313,0.0,32.42,16.69,Punjab
19970314,0.0,26.72,14.05,Punjab
19970315,0.88,26.44,13.25,Punjab
19970316,0.95,29.3,16.0,Punjab
19970317,1.92,28.42,15.83,Punjab
19970318,0.05,28.31,16.44,Punjab
19970319,3.15,29.26,16.96,Punjab
19970320,4.6,28.66,14.02,Punjab
19970321,0.05,30.08,14.81,Punjab
19970322,0.02,30.21,15.68,Punjab
19970323,0.64,30.07,14.65,Punjab
19970324,0.07,30.37,11.14,Punjab
19970325,0.05,32.14,11.55,Punjab
19970326,0.0,31.15,14.12,Punjab
19970327,0.0,33.99,14.86,Punjab
19970328,0.13,23.69,17.32,Punjab
19970329,6.01,26.29,15.48,Punjab
19970330,0.07,32.21,14.15,Punjab
19970331,0.41,29.95,18.66,Punjab
19970401,2.55,30.44,16.66,Punjab
19970402,4.55,27.31,18.08,Punjab
19970403,8.91,19.87,14.88,Punjab
19970404,11.54,26.32,13.74,Punjab
19970405,0.0,28.58,13.83,Punjab
19970406,0.07,30.8,14.55,Punjab
19970407,0.05,31.93,14.13,Punjab
19970408,0.0,34.97,16.5,Punjab
19970409,0.0,35.76,20.07,Punjab
19970410,0.86,34.44,20.64,Punjab
19970411,0.91,35.9,19.02,Punjab
19970412,0.0,37.19,19.51,Punjab
19970413,0.0,36.55,19.47,Punjab
19970414,0.01,37.1,20.82,Punjab
19970415,0.0,34.75,17.76,Punjab
19970416,0.01,31.74,16.63,Punjab
19970417,0.71,32.29,15.02,Punjab
19970418,0.0,32.67,18.67,Punjab
19970419,0.0,35.12,16.88,Punjab
19970420,0.0,36.33,20.15,Punjab
19970421,0.0,34.97,20.38,Punjab
19970422,0.0,38.33,19.86,Punjab
19970423,0.0,38.85,21.5,Punjab
19970424,0.0,41.42,23.73,Punjab
19970425,0.0,40.66,21.57,Punjab
19970426,0.0,38.76,24.0,Punjab
19970427,0.53,39.18,24.21,Punjab
19970428,0.03,39.77,23.86,Punjab
19970429,1.78,37.5,23.25,Punjab
19970430,0.51,37.89,23.77,Punjab
19970501,0.05,37.39,23.35,Punjab
19970502,5.5,38.09,22.88,Punjab
19970503,2.59,34.41,23.55,Punjab
19970504,0.23,33.74,21.51,Punjab
19970505,2.98,27.86,21.85,Punjab
19970506,0.0,36.14,19.87,Punjab
19970507,1.0,37.6,22.18,Punjab
19970508,0.2,38.12,24.06,Punjab
19970509,2.7,35.53,19.71,Punjab
19970510,2.15,36.48,17.1,Punjab
19970511,0.0,39.02,19.09,Punjab
19970512,0.0,38.87,22.44,Punjab
19970513,0.0,38.67,22.76,Punjab
19970514,0.01,38.3,23.19,Punjab
19970515,0.0,39.08,22.42,Punjab
19970516,0.0,39.38,22.35,Punjab
19970517,0.0,42.01,21.93,Punjab
19970518,0.0,38.95,24.97,Punjab
19970519,0.0,41.8,22.25,Punjab
19970520,0.0,41.67,22.52,Punjab
19970521,0.0,42.95,25.1,Punjab
19970522,0.0,44.29,24.83,Punjab
19970523,0.0,43.44,24.75,Punjab
19970524,0.0,43.95,26.54,Punjab
19970525,0.0,43.05,27.22,Punjab
19970526,0.07,43.59,27.11,Punjab
19970527,0.0,44.86,30.73,Punjab
19970528,0.1,45.53,30.43,Punjab
19970529,1.15,43.84,28.77,Punjab
19970530,0.99,42.69,28.38,Punjab
19970531,0.43,39.51,27.21,Punjab
19970601,3.04,39.19,25.33,Punjab
19970602,1.8,37.97,25.25,Punjab
19970603,0.18,38.15,27.27,Punjab
19970604,0.06,37.42,27.59,Punjab
19970605,0.39,36.08,27.33,Punjab
19970606,0.09,40.1,27.4,Punjab
19970607,0.0,42.09,28.94,Punjab
19970608,2.93,42.11,27.86,Punjab
19970609,0.0,42.28,28.54,Punjab
19970610,0.0,42.91,28.37,Punjab
19970611,4.02,42.68,26.32,Punjab
19970612,0.0,42.25,28.67,Punjab
19970613,0.0,42.11,28.68,Punjab
19970614,1.2,43.74,29.27,Punjab
19970615,0.0,45.17,29.01,Punjab
19970616,0.0,46.7,30.66,Punjab
19970617,0.0,46.25,30.62,Punjab
19970618,0.0,45.85,31.12,Punjab
19970619,0.0,44.48,31.42,Punjab
19970620,24.38,36.94,29.71,Punjab
19970621,0.04,39.45,28.92,Punjab
19970622,0.2,42.54,29.76,Punjab
19970623,0.0,43.31,31.5,Punjab
19970624,0.16,44.86,31.0,Punjab
19970625,0.44,44.46,30.89,Punjab
19970626,0.02,45.26,30.58,Punjab
19970627,6.93,41.97,29.14,Punjab
19970628,3.22,40.6,29.09,Punjab
19970629,2.64,41.01,28.81,Punjab
19970630,13.07,35.51,29.49,Punjab
19970701,0.03,41.91,27.99,Punjab
19970702,0.27,43.68,29.84,Punjab
19970703,0.0,44.17,30.58,Punjab
19970704,0.02,45.06,29.42,Punjab
19970705,0.0,45.29,30.33,Punjab
19970706,0.01,46.42,31.39,Punjab
19970707,0.3,45.31,32.32,Punjab
19970708,0.26,44.83,32.45,Punjab
19970709,0.18,45.14,33.46,Punjab
19970710,0.95,45.54,33.12,Punjab
19970711,7.21,40.46,32.21,Punjab
19970712,9.49,38.56,28.96,Punjab
19970713,1.38,41.75,29.98,Punjab
19970714,0.74,43.25,30.5,Punjab
19970715,3.94,41.4,29.94,Punjab
19970716,9.71,41.3,30.95,Punjab
19970717,12.88,39.39,29.35,Punjab
19970718,0.42,42.14,30.43,Punjab
19970719,0.03,39.03,31.94,Punjab
19970720,2.51,37.43,30.52,Punjab
19970721,8.13,36.4,29.64,Punjab
19970722,1.03,38.08,28.07,Punjab
19970723,5.67,37.52,28.87,Punjab
19970724,0.59,39.21,28.77,Punjab
19970725,10.18,35.16,29.26,Punjab
19970726,0.3,38.16,27.35,Punjab
19970727,7.85,37.69,29.42,Punjab
19970728,0.83,36.21,28.38,Punjab
19970729,33.47,36.02,29.04,Punjab
19970730,5.6,37.89,27.41,Punjab
19970731,1.7,36.88,28.57,Punjab
19970801,8.29,36.09,26.95,Punjab
19970802,11.58,36.94,25.44,Punjab
19970803,22.1,36.16,26.45,Punjab
19970804,2.4,37.32,25.07,Punjab
19970805,0.0,39.13,24.49,Punjab
19970806,0.0,40.27,24.17,Punjab
19970807,0.53,38.94,26.49,Punjab
19970808,19.83,35.92,26.93,Punjab
19970809,1.36,36.28,25.84,Punjab
19970810,0.29,39.11,28.37,Punjab
19970811,0.08,38.39,28.2,Punjab
19970812,0.17,36.78,26.84,Punjab
19970813,6.15,35.43,26.27,Punjab
19970814,17.47,33.95,25.28,Punjab
19970815,1.34,36.73,26.47,Punjab
19970816,3.87,38.31,26.71,Punjab
19970817,0.3,38.95,25.85,Punjab
19970818,0.01,39.89,26.62,Punjab
19970819,0.12,39.83,27.92,Punjab
19970820,0.06,39.02,27.72,Punjab
19970821,0.0,38.55,28.24,Punjab
19970822,1.6,33.2,27.26,Punjab
19970823,41.73,28.94,25.8,Punjab
19970824,2.66,33.99,25.44,Punjab
19970825,0.74,30.66,25.26,Punjab
19970826,8.52,30.71,23.65,Punjab
19970827,25.02,29.38,24.61,Punjab
19970828,15.89,31.46,23.75,Punjab
19970829,15.67,33.73,22.99,Punjab
19970830,0.1,35.08,23.77,Punjab
19970831,0.08,35.16,22.75,Punjab
19970901,0.0,35.74,23.34,Punjab
19970902,0.01,35.03,22.73,Punjab
19970903,0.05,35.34,22.34,Punjab
19970904,0.0,35.31,23.55,Punjab
19970905,0.0,36.92,23.77,Punjab
19970906,0.0,37.61,25.35,Punjab
19970907,0.01,36.35,24.17,Punjab
19970908,6.18,35.82,25.3,Punjab
19970909,0.15,34.59,25.41,Punjab
19970910,0.02,33.69,26.56,Punjab
