date,PRECTOTCORR,T2M_MAX,T2M_MIN,state
19970101,0.0,27.56,10.65,West Bengal
19970102,0.0,26.89,9.92,West Bengal
19970103,0.0,26.95,10.75,West Bengal
19970104,0.0,26.59,8.49,West Bengal
19970105,0.0,26.27,9.47,West Bengal
19970106,0.0,26.58,9.85,West Bengal
19970107,0.0,26.41,10.58,West Bengal
19970108,0.0,27.15,9.54,West Bengal
19970109,0.0,27.43,10.32,West Bengal
19970110,0.0,27.36,10.23,West Bengal
19970111,0.0,27.7,9.49,West Bengal
19970112,0.0,29.11,11.41,West Bengal
19970113,0.0,28.72,11.5,West Bengal
19970114,0.0,27.62,14.84,West Bengal
19970115,0.14,26.4,14.36,West Bengal
19970116,2.33,26.85,15.89,West Bengal
19970117,0.0,27.16,12.41,West Bengal
19970118,0.0,26.87,9.56,West Bengal
19970119,0.0,26.96,10.05,West Bengal
19970120,0.0,28.73,12.01,West Bengal
19970121,17.72,22.53,13.46,West Bengal
19970122,0.0,24.27,9.12,West Bengal
19970123,0.01,23.73,8.15,West Bengal
19970124,0.0,24.66,7.95,West Bengal
19970125,0.0,25.65,8.31,West Bengal
19970126,0.0,25.62,7.71,West Bengal
19970127,0.0,26.3,9.03,West Bengal
19970128,0.0,27.49,8.4,West Bengal
19970129,0.0,27.96,10.13,West Bengal
19970130,0.0,28.5,10.92,West Bengal
19970131,0.0,29.3,12.88,West Bengal
19970201,5.18,29.59,15.03,West Bengal
19970202,4.71,28.18,9.5,West Bengal
19970203,0.0,29.87,12.22,West Bengal
19970204,1.25,29.98,17.86,West Bengal
19970205,0.0,29.54,14.63,West Bengal
19970206,0.03,29.09,12.27,West Bengal
19970207,0.0,26.69,8.46,West Bengal
19970208,0.0,26.89,9.02,West Bengal
19970209,0.0,29.51,9.06,West Bengal
19970210,0.27,30.14,15.58,West Bengal
19970211,0.83,30.45,14.61,West Bengal
19970212,0.61,29.45,9.31,West Bengal
19970213,0.0,29.21,8.25,West Bengal
19970214,0.0,31.66,10.63,West Bengal
19970215,0.0,32.96,12.52,West Bengal
19970216,0.0,33.67,14.36,West Bengal
19970217,0.0,32.84,16.2,West Bengal
19970218,0.0,32.21,13.13,West Bengal
19970219,0.0,32.53,16.37,West Bengal
19970220,2.36,31.18,19.6,West Bengal
19970221,0.01,31.62,14.87,West Bengal
19970222,0.2,30.68,14.87,West Bengal
19970223,0.0,31.13,11.76,West Bengal
19970224,0.0,30.99,14.07,West Bengal
19970225,0.0,32.01,14.49,West Bengal
19970226,0.0,33.87,17.27,West Bengal
19970227,1.5,35.02,18.82,West Bengal
19970228,0.0,34.71,18.25,West Bengal
19970301,0.0,34.74,16.25,West Bengal
19970302,0.0,35.7,17.29,West Bengal
19970303,0.0,36.63,18.16,West Bengal
19970304,0.0,37.37,17.55,West Bengal
19970305,0.0,36.96,18.78,West Bengal
19970306,0.0,37.33,19.21,West Bengal
19970307,0.0,37.55,19.32,West Bengal
19970308,0.0,37.55,18.9,West Bengal
19970309,0.0,37.74,17.57,West Bengal
19970310,0.0,37.95,19.42,West Bengal
19970311,0.0,38.39,19.65,West Bengal
19970312,0.0,37.79,19.82,West Bengal
19970313,0.0,39.09,20.57,West Bengal
19970314,0.0,39.31,22.74,West Bengal
19970315,0.09,39.24,23.71,West Bengal
19970316,0.05,39.87,22.19,West Bengal
19970317,0.0,39.48,22.88,West Bengal
19970318,0.0,39.33,22.62,West Bengal
19970319,0.0,38.97,21.05,West Bengal
19970320,0.0,39.65,23.26,West Bengal
19970321,0.0,38.72,25.0,West Bengal
19970322,0.0,39.25,23.68,West Bengal
19970323,4.96,37.63,24.22,West Bengal
19970324,0.45,36.57,20.33,West Bengal
19970325,3.94,33.25,23.08,West Bengal
19970326,1.33,35.49,19.9,West Bengal
19970327,0.65,33.84,21.66,West Bengal
19970328,0.03,37.64,20.66,West Bengal
19970329,0.06,38.16,22.12,West Bengal
19970330,7.59,35.96,22.7,West Bengal
19970331,38.75,29.84,21.42,West Bengal
19970401,0.03,34.3,21.87,West Bengal
19970402,0.15,34.79,22.31,West Bengal
19970403,7.54,31.14,22.94,West Bengal
19970404,0.93,32.83,21.76,West Bengal
19970405,0.1,35.13,21.36,West Bengal
19970406,0.07,35.4,20.39,West Bengal
19970407,1.09,35.36,21.31,West Bengal
19970408,0.49,35.71,20.95,West Bengal
19970409,0.24,36.48,20.7,West Bengal
19970410,10.0,34.02,22.88,West Bengal
19970411,16.74,32.0,21.63,West Bengal
19970412,19.39,32.02,21.54,West Bengal
19970413,1.11,34.55,20.73,West Bengal
19970414,18.88,33.91,21.65,West Bengal
19970415,14.03,33.27,23.05,West Bengal
19970416,1.17,35.5,23.31,West Bengal
19970417,0.3,37.42,23.01,West Bengal
19970418,2.17,37.37,22.73,West Bengal
19970419,0.01,37.3,21.36,West Bengal
19970420,0.1,38.67,22.13,West Bengal
19970421,0.0,38.1,22.21,West Bengal
19970422,0.0,38.98,23.85,West Bengal
19970423,0.0,39.27,23.86,West Bengal
19970424,1.4,37.22,22.86,West Bengal
19970425,0.03,36.55,23.12,West Bengal
19970426,10.09,33.14,23.7,West Bengal
19970427,6.46,33.66,23.04,West Bengal
19970428,1.5,34.66,24.1,West Bengal
19970429,1.83,35.26,24.29,West Bengal
19970430,1.69,36.08,24.78,West Bengal
19970501,0.34,36.31,24.74,West Bengal
19970502,0.63,36.13,25.8,West Bengal
19970503,0.07,39.8,24.64,West Bengal
19970504,0.0,40.6,24.95,West Bengal
19970505,0.12,40.26,26.17,West Bengal
19970506,0.25,37.95,25.75,West Bengal
19970507,0.0,39.04,24.75,West Bengal
19970508,0.43,39.5,24.98,West Bengal
19970509,3.53,39.79,25.15,West Bengal
19970510,4.93,39.51,25.32,West Bengal
19970511,0.01,41.07,24.24,West Bengal
19970512,0.0,41.87,24.61,West Bengal
19970513,0.0,42.19,26.57,West Bengal
19970514,0.0,41.8,27.09,West Bengal
19970515,1.02,42.29,26.38,West Bengal
19970516,0.4,42.94,26.03,West Bengal
19970517,0.33,40.87,26.87,West Bengal
19970518,0.47,38.88,26.57,West Bengal
19970519,0.0,40.99,26.42,West Bengal
19970520,0.11,43.47,25.83,West Bengal
19970521,0.07,43.78,25.79,West Bengal
19970522,0.2,43.18,26.78,West Bengal
19970523,0.26,41.55,28.61,West Bengal
19970524,17.4,37.96,27.55,West Bengal
19970525,28.65,33.54,26.41,West Bengal
19970526,5.72,36.78,26.24,West Bengal
19970527,3.29,37.94,26.45,West Bengal
19970528,1.69,37.56,26.83,West Bengal
19970529,2.54,38.56,26.49,West Bengal
19970530,18.69,36.24,26.72,West Bengal
19970531,6.11,37.49,26.75,West Bengal
19970601,0.3,38.46,26.64,West Bengal
19970602,0.87,40.72,27.34,West Bengal
19970603,3.32,37.24,27.97,West Bengal
19970604,7.33,37.34,26.64,West Bengal
19970605,0.85,39.47,26.76,West Bengal
19970606,0.09,39.19,28.94,West Bengal
19970607,1.59,40.28,27.18,West Bengal
19970608,1.78,37.04,28.3,West Bengal
19970609,2.02,35.73,27.62,West Bengal
