year,value,indicator
2025,,AG.LND.IRIG.AG.ZS
2024,,AG.LND.IRIG.AG.ZS
2023,44.4148265955838,AG.LND.IRIG.AG.ZS
2022,43.6985457569589,AG.LND.IRIG.AG.ZS
2021,42.9821498809773,AG.LND.IRIG.AG.ZS
2020,42.2656390034056,AG.LND.IRIG.AG.ZS
2019,39.9642547962803,AG.LND.IRIG.AG.ZS
2018,38.7893878827129,AG.LND.IRIG.AG.ZS
2017,38.3008993728938,AG.LND.IRIG.AG.ZS
2016,37.4767510496831,AG.LND.IRIG.AG.ZS
2015,38.0592736886044,AG.LND.IRIG.AG.ZS
2014,37.899492566545,AG.LND.IRIG.AG.ZS
2013,36.7856069627931,AG.LND.IRIG.AG.ZS
2012,36.3294775163937,AG.LND.IRIG.AG.ZS
2011,35.3987866644404,AG.LND.IRIG.AG.ZS
2010,34.4923791438579,AG.LND.IRIG.AG.ZS
2009,35.3416487104871,AG.LND.IRIG.AG.ZS
2008,34.6501109831606,AG.LND.IRIG.AG.ZS
2007,34.9320788330921,AG.LND.IRIG.AG.ZS
2006,33.8165486420686,AG.LND.IRIG.AG.ZS
2005,32.8692137725814,AG.LND.IRIG.AG.ZS
2004,31.6329868329868,AG.LND.IRIG.AG.ZS
2003,30.7335963028921,AG.LND.IRIG.AG.ZS
2002,31.5330084182543,AG.LND.IRIG.AG.ZS
2001,32.2073057893366,AG.LND.IRIG.AG.ZS
2000,,AG.LND.IRIG.AG.ZS
1999,,AG.LND.IRIG.AG.ZS
1998,,AG.LND.IRIG.AG.ZS
1997,,AG.LND.IRIG.AG.ZS
1996,,AG.LND.IRIG.AG.ZS
1995,,AG.LND.IRIG.AG.ZS
1994,,AG.LND.IRIG.AG.ZS
1993,,AG.LND.IRIG.AG.ZS
1992,,AG.LND.IRIG.AG.ZS
1991,,AG.LND.IRIG.AG.ZS
1990,,AG.LND.IRIG.AG.ZS
1989,,AG.LND.IRIG.AG.ZS
1988,,AG.LND.IRIG.AG.ZS
1987,,AG.LND.IRIG.AG.ZS
1986,,AG.LND.IRIG.AG.ZS
1985,,AG.LND.IRIG.AG.ZS
1984,,AG.LND.IRIG.AG.ZS
1983,,AG.LND.IRIG.AG.ZS
1982,,AG.LND.IRIG.AG.ZS
1981,,AG.LND.IRIG.AG.ZS
1980,,AG.LND.IRIG.AG.ZS
1979,,AG.LND.IRIG.AG.ZS
1978,,AG.LND.IRIG.AG.ZS
1977,,AG.LND.IRIG.AG.ZS
1976,,AG.LND.IRIG.AG.ZS
1975,,AG.LND.IRIG.AG.ZS
1974,,AG.LND.IRIG.AG.ZS
1973,,AG.LND.IRIG.AG.ZS
1972,,AG.LND.IRIG.AG.ZS
1971,,AG.LND.IRIG.AG.ZS
1970,,AG.LND.IRIG.AG.ZS
1969,,AG.LND.IRIG.AG.ZS
1968,,AG.LND.IRIG.AG.ZS
1967,,AG.LND.IRIG.AG.ZS
1966,,AG.LND.IRIG.AG.ZS
1965,,AG.LND.IRIG.AG.ZS
1964,,AG.LND.IRIG.AG.ZS
1963,,AG.LND.IRIG.AG.ZS
1962,,AG.LND.IRIG.AG.ZS
1961,,AG.LND.IRIG.AG.ZS
1960,,AG.LND.IRIG.AG.ZS
