year,value,indicator
2025,,ER.H2O.FWAG.ZS
2024,,ER.H2O.FWAG.ZS
2023,,ER.H2O.FWAG.ZS
2022,90.40735874,ER.H2O.FWAG.ZS
2021,90.40735874,ER.H2O.FWAG.ZS
2020,90.40735874,ER.H2O.FWAG.ZS
2019,90.40735874,ER.H2O.FWAG.ZS
2018,90.40735874,ER.H2O.FWAG.ZS
2017,90.40735874,ER.H2O.FWAG.ZS
2016,90.40735874,ER.H2O.FWAG.ZS
2015,90.40735874,ER.H2O.FWAG.ZS
2014,90.40735874,ER.H2O.FWAG.ZS
2013,90.40735874,ER.H2O.FWAG.ZS
2012,90.40735874,ER.H2O.FWAG.ZS
2011,90.40735874,ER.H2O.FWAG.ZS
2010,90.40735874,ER.H2O.FWAG.ZS
2009,90.49521409,ER.H2O.FWAG.ZS
2008,90.58669002,ER.H2O.FWAG.ZS
2007,90.68201503,ER.H2O.FWAG.ZS
2006,90.7814373,ER.H2O.FWAG.ZS
2005,90.88522678,ER.H2O.FWAG.ZS
2004,90.99367768,ER.H2O.FWAG.ZS
2003,91.10711126,ER.H2O.FWAG.ZS
2002,91.22587897,ER.H2O.FWAG.ZS
2001,91.35036613,ER.H2O.FWAG.ZS
2000,91.48099607,ER.H2O.FWAG.ZS
1999,91.52429258,ER.H2O.FWAG.ZS
1998,91.56921403,ER.H2O.FWAG.ZS
1997,91.61585366,ER.H2O.FWAG.ZS
1996,91.66431195,ER.H2O.FWAG.ZS
1995,91.71469741,ER.H2O.FWAG.ZS
1994,91.76712732,ER.H2O.FWAG.ZS
1993,91.82172869,ER.H2O.FWAG.ZS
1992,91.87863929,ER.H2O.FWAG.ZS
1991,91.93800877,ER.H2O.FWAG.ZS
1990,92.0,ER.H2O.FWAG.ZS
1989,92.52212921,ER.H2O.FWAG.ZS
1988,93.04564049,ER.H2O.FWAG.ZS
1987,93.57053934,ER.H2O.FWAG.ZS
1986,94.09683127,ER.H2O.FWAG.ZS
1985,94.62452184,ER.H2O.FWAG.ZS
1984,94.49724759,ER.H2O.FWAG.ZS
1983,94.36369782,ER.H2O.FWAG.ZS
1982,94.22339665,ER.H2O.FWAG.ZS
1981,94.07581885,ER.H2O.FWAG.ZS
1980,93.92038326,ER.H2O.FWAG.ZS
1979,93.75644511,ER.H2O.FWAG.ZS
1978,93.58328715,ER.H2O.FWAG.ZS
1977,93.40010909,ER.H2O.FWAG.ZS
1976,93.20601527,ER.H2O.FWAG.ZS
1975,93.0,ER.H2O.FWAG.ZS
1974,,ER.H2O.FWAG.ZS
1973,,ER.H2O.FWAG.ZS
1972,,ER.H2O.FWAG.ZS
1971,,ER.H2O.FWAG.ZS
1970,,ER.H2O.FWAG.ZS
1969,,ER.H2O.FWAG.ZS
1968,,ER.H2O.FWAG.ZS
1967,,ER.H2O.FWAG.ZS
1966,,ER.H2O.FWAG.ZS
1965,,ER.H2O.FWAG.ZS
1964,,ER.H2O.FWAG.ZS
1963,,ER.H2O.FWAG.ZS
1962,,ER.H2O.FWAG.ZS
1961,,ER.H2O.FWAG.ZS
1960,,ER.H2O.FWAG.ZS
